"Orden";"Símbolo";"Nombre";"Numero Atomico";"Grupo";"Periodo";"Tipo";"Subtipo";"Estado";"Valencia";"peso atómico
(uma)";"density g/mL";"Punto Ebullicion";"Punto Fusion";"peso atómico
(uma)";"Cant_Val";"Nombre_ESP";"Oxidos_ESP";"Hidruros_ESP";"Hidroxidos_ESP";"Hidracidos_ESP";"Oxosales_ESP";"Sales_ESP"
34;"Se";"Selenio";34;16;4;"No Metal";"Otros No Metales";"Sólido";"4;6";78971;"4.79";685;217;78971;2;"Selenio";"Selenioso; Selénico";"Selenioso; Selénico";"Selenioso; Selénico";"Selenioso; Selénico";"Selenito; Selenato";"Selenuro"
35;"Br";"Bromo";35;17;4;"No Metal";"Halógenos";"Líquido";"1;5";79904;"3.12";"58.8";"-7.2";79904;2;"Bromo";"Bromoso; Brómico";"Bromoso; Brómico";"Bromoso; Brómico";"Bromoso; Brómico";"Bromito; Bromato";"Bromuro"
36;"Kr";"Kriptón";36;18;4;"Gas Noble";"-";"Gas";0;83798;"0.00374";-152;-157;83798;1;"Kriptón";"Kriptón";"Kriptón";"Kriptón";"Kriptón";"Kriptón";"Kriptón"
37;"Rb";"Rubidio";37;1;5;"Metal";"Alcalinos";"Sólido";1;"85.4678";"1.53";686;"38.9";"85.4678";1;"Rubidio";"Rubidio";"Rubidio";"Rubidio";"Rubidio";"Rubidio";"Rubidio"
38;"Sr";"Estroncio";38;2;5;"Metal";"Alcalinotérreos";"Sólido";2;"87.62";"2.54";1384;769;"87.62";1;"Estroncio";"Estroncio";"Estroncio";"Estroncio";"Estroncio";"Estroncio";"Estroncio"
39;"Y";"Itrio";39;3;5;"Metal";"Metales de Transición";"Sólido";3;"88.90584";"4.47";3337;1523;"88.90584";1;"Itrio";"Itrio";"Itrio";"Itrio";"Itrio";"Itrio";"Itrio"
40;"Zr";"Circonio";40;4;5;"Metal";"Metales de Transición";"Sólido";4;91224;"6.51";4377;1852;91224;1;"Circonio";"Circonio";"Circonio";"Circonio";"Circonio";"Circonio";"Circonio"
41;"Nb";"Niobio";41;5;5;"Metal";"Metales de Transición";"Sólido";"3;5";"92.90637";"8.57";4742;2468;"92.90637";2;"Niobio";"Niobioso; Nióbico";"Niobioso; Nióbico";"Niobioso; Nióbico";"Niobioso; Nióbico";"Niobioso; Nióbico";"Niobioso; Nióbico"
42;"Mo";"Molibdeno";42;6;5;"Metal";"Metales de Transición";"Sólido";"2;3;4;5;6";"95.95";"10.2";4612;2617;"95.95";5;"Molibdeno";"Molibdenoso; Molibdénico";"Molibdenoso; Molibdénico";"Molibdenoso; Molibdénico";"Molibdenoso; Molibdénico";"Molibdenoso; Molibdénico";"Molibdenoso; Molibdénico"
43;"Tc";"Tecnecio";43;7;5;"Metal";"Metales de Transición";"Sólido";7;98;"11.5";4877;2172;98;1;"Tecnecio";"Tecnecio";"Tecnecio";"Tecnecio";"Tecnecio";"Tecnecio";"Tecnecio"
44;"Ru";"Rutenio";44;8;5;"Metal";"Metales de Transición";"Sólido";"2;3;4;6;8";"101.07";"12.4";3900;2310;"101.07";5;"Rutenio";"Rutenioso; Ruténico";"Rutenioso; Ruténico";"Rutenioso; Ruténico";"Rutenioso; Ruténico";"Rutenioso; Ruténico";"Rutenioso; Ruténico"
45;"Rh";"Rodio";45;9;5;"Metal";"Metales de Transición";"Sólido";"2;3;4";"102.9055";"12.4";3727;1966;"102.9055";3;"Rodio";"Rodioso; Ródico";"Rodioso; Ródico";"Rodioso; Ródico";"Rodioso; Ródico";"Rodioso; Ródico";"Rodioso; Ródico"
46;"Pd";"Paladio";46;10;5;"Metal";"Metales de Transición";"Sólido";"2;4";"106.42";12;3140;1554;"106.42";2;"Paladio";"Paladioso; Paládico";"Paladioso; Paládico";"Paladioso; Paládico";"Paladioso; Paládico";"Paladioso; Paládico";"Paladioso; Paládico"
47;"Ag";"Plata";47;11;5;"Metal";"Metales de Transición";"Sólido";1;"107.8682";"10.5";2212;962;"107.8682";1;"Plata";"Plata";"Plata";"Plata";"Plata";"Plata";"Plata"
48;"Cd";"Cadmio";48;12;5;"Metal";"Metales de Transición";"Sólido";2;112414;"8.65";765;"320.9";112414;1;"Cadmio";"Cadmio";"Cadmio";"Cadmio";"Cadmio";"Cadmio";"Cadmio"
49;"In";"Indio";49;13;5;"Metal";"Metales del Bloque p";"Sólido";3;114818;"7.31";2080;"156.6";114818;1;"Indio";"Indio";"Indio";"Indio";"Indio";"Indio";"Indio"
50;"Sn";"Estaño";50;14;5;"Metal";"Metales del Bloque p";"Sólido";"2;4";"118.71";"7.31";2270;232;"118.71";2;"Estaño";"Estañoso; Estáñico";"Estañoso; Estáñico";"Estañoso; Estáñico";"Estañoso; Estáñico";"Estañoso; Estáñico";"Estañoso; Estáñico"
51;"Sb";"Antimonio";51;15;5;"Metaloide";"-";"Sólido";"3;5";"121.76";"6.69";1950;631;"121.76";2;"Antimonio";"Antimonioso; Antimónico";"Antimonioso; Antimónico";"Antimonioso; Antimónico";"Antimonioso; Antimónico";"Antimonioso; Antimónico";"Antimonuro"
52;"Te";"Teluro";52;16;5;"Metaloide";"-";"Sólido";"2;4;6";"127.6";"6.24";"989.8";"449.5";"127.6";3;"Teluro";"Teluroso; Telúrico";"Teluroso; Telúrico";"Teluroso; Telúrico";"Teluroso; Telúrico";"Teluroso; Telúrico";"Telururo"
53;"I";"Yodo";53;17;5;"No Metal";"Halógenos";"Sólido";"1;5;7";"126.90447";"4.93";184;"113.5";"126.90447";3;"Yodo";"Yodoso; Yódico";"Yodoso; Yódico";"Yodoso; Yódico";"Yodoso; Yódico";"Yodito; Yodato";"Yoduro"
54;"Xe";"Xenón";54;18;5;"Gas Noble";"-";"Gas";0;131293;"0.00589";"-107.1";"-111.8";131293;1;"Xenón";"Xenón";"Xenón";"Xenón";"Xenón";"Xenón";"Xenón"
55;"Cs";"Cesio";55;1;6;"Metal";"Alcalinos";"Líquido";1;"132.90545196";"1.87";669;"28.4";"132.90545196";1;"Cesio";"Cesio";"Cesio";"Cesio";"Cesio";"Cesio";"Cesio"
56;"Ba";"Bario";56;2;6;"Metal";"Alcalinotérreos";"Sólido";2;137327;"3.5";1640;725;137327;1;"Bario";"Bario";"Bario";"Bario";"Bario";"Bario";"Bario"
57;"La";"Lantano";57;3;6;"Metal";"Lantánidos";"Sólido";3;"138.90547";"6.15";3454;920;"138.90547";1;"Lantano";"Lantano";"Lantano";"Lantano";"Lantano";"Lantano";"Lantano"
58;"Ce";"Cerio";58;3;6;"Metal";"Lantánidos";"Sólido";"3;4";140116;"6.66";3257;798;140116;2;"Cerio";"Cerioso; Cérico";"Cerioso; Cérico";"Cerioso; Cérico";"Cerioso; Cérico";"Cerioso; Cérico";"Cerioso; Cérico"
59;"Pr";"Praseodimio";59;3;6;"Metal";"Lantánidos";"Sólido";"3;4";"140.90766";"6.77";3017;931;"140.90766";2;"Praseodimio";"Praseodmioso; Praseódmico";"Praseodmioso; Praseódmico";"Praseodmioso; Praseódmico";"Praseodmioso; Praseódmico";"Praseodmioso; Praseódmico";"Praseodmioso; Praseódmico"
60;"Nd";"Neodimio";60;3;6;"Metal";"Lantánidos";"Sólido";3;144242;7;3127;1016;144242;1;"Neodimio";"Neodimio";"Neodimio";"Neodimio";"Neodimio";"Neodimio";"Neodimio"
61;"Pm";"Prometio";61;3;6;"Metal";"Lantánidos";"Sólido";3;145;"7.26";3000;1042;145;1;"Prometio";"Prometio";"Prometio";"Prometio";"Prometio";"Prometio";"Prometio"
62;"Sm";"Samario";62;3;6;"Metal";"Lantánidos";"Sólido";"3;2";"150.36";"7.52";1794;1074;"150.36";2;"Samario";"Samarioso; Samárico";"Samarioso; Samárico";"Samarioso; Samárico";"Samarioso; Samárico";"Samarioso; Samárico";"Samarioso; Samárico"
